name,annotations,codepoints,emoji,synonyms
grinning face,"face, grin",[128512],😀,"face, person, smile, happy, content"
grinning face with smiling eyes,"eye, face, grin, smile",[128513],😁,"eye, face, grin, smile, grinning"
face with tears of joy,"face, joy, laugh, tear",[128514],😂,"joy, happy, laughing, tears of joy, crying of joy, cry of joy"
rolling on the floor laughing,"face, floor, laugh, rolling",[129315],🤣,"rolling on the floor laughing, rofl"
smiling face with open mouth,"face, mouth, open, smile",[128515],😃,"smile, happy"
smiling face with open mouth & smiling eyes,"eye, face, mouth, open, smile",[128516],😄,"smile, happy"
smiling face with open mouth & cold sweat,"cold, face, open, smile, sweat",[128517],😅,"cold sweat, sweat, embarrased"
smiling face with open mouth & closed eyes,"face, laugh, mouth, open, satisfied, smile",[128518],😆,"laugh, smile, fun, laughing"
winking face,"face, wink",[128521],😉,"wink, joke, winking, winked"
smiling face with smiling eyes,"blush, eye, face, smile",[128522],😊,"blush, blushing, blushed, smile"
face savouring delicious food,"delicious, face, savouring, smile, um, yum",[128523],😋,"yum, yummy, delicious, savour, savouring, eating, eat, ate"
smiling face with sunglasses,"bright, cool, eye, eyewear, face, glasses, smile, sun, sunglasses",[128526],😎,"cool, hip, sunglasses, shades, glasses, sunny"
smiling face with heart-eyes,"eye, face, love, smile",[128525],😍,"love, loving, loved"
face blowing a kiss,"face, kiss",[128536],😘,"kiss, kisses, kissing, kissed"
kissing face,"face, kiss",[128535],😗,"kiss, kisses, kissing, kissed"
kissing face with smiling eyes,"eye, face, kiss, smile",[128537],😙,"kiss, kisses, kissing, kissed"
kissing face with closed eyes,"closed, eye, face, kiss",[128538],😚,"kiss, kisses, kissing, kissed"
smiling face,"face, outlined, relaxed, smile",[9786],☺,smile
slightly smiling face,"face, smile",[128578],🙂,smile
hugging face,"face, hug, hugging",[129303],🤗,smile
thinking face,"face, thinking",[129300],🤔,smile
neutral face,"deadpan, face, neutral",[128528],😐,"deadpan, neutral, meh"
expressionless face,"expressionless, face, inexpressive, unexpressive",[128529],😑,"inexpressive, neutral, meh, deadpan"
face without mouth,"face, mouth, quiet, silent",[128566],😶,"quiet, silent, silenced"
face with rolling eyes,"eyes, face, rolling",[128580],🙄,eyeroll
smirking face,"face, smirk",[128527],😏,"smirk, smirking, smirked"
persevering face,"face, persevere",[128547],😣,"persevere, perseverance, grit, persist, persisting"
disappointed but relieved face,"disappointed, face, relieved, whew",[128549],😥,"disappointed, whew, relieved, phew, relief"
face with open mouth,"face, mouth, open, sympathy",[128558],😮,"sympathy, sympathetic, compassion, compassionate"
zipper-mouth face,"face, mouth, zipper",[129296],🤐,"silent, quiet, silenced"
hushed face,"face, hushed, stunned, surprised",[128559],😯,"hushed, stunned, suprised"
sleepy face,"face, sleep",[128554],😪,"sleep, sleepy, asleep"
tired face,"face, tired",[128555],😫,"tired, exhausted, fatigue, fatigued"
sleeping face,"face, sleep, zzz",[128564],😴,"sleep, sleepy, asleep"
relieved face,"face, relieved",[128524],😌,"relieved, relief"
nerd face,"face, geek, nerd",[129299],🤓,"geek, nerd"
face with stuck-out tongue,"face, tongue",[128539],😛,"tongue, joke"
face with stuck-out tongue & winking eye,"eye, face, joke, tongue, wink",[128540],😜,"joke, wink, tongue"
face with stuck-out tongue & closed eyes,"eye, face, horrible, taste, tongue",[128541],😝,"eww, disgusting"
drooling face,"drooling, face",[129316],🤤,"drool, drooling"
unamused face,"face, unamused, unhappy",[128530],😒,"unhappy, unamused"
face with cold sweat,"cold, face, sweat",[128531],😓,"cold sweat, sweat, embarrased"
pensive face,"dejected, face, pensive",[128532],😔,"pensive, pondering, dejected"
confused face,"confused, face",[128533],😕,confused
upside-down face,"face, upside-down",[128579],🙃,"upside-down, confused, crazy, zany, wrong"
money-mouth face,"face, money, mouth",[129297],🤑,money
astonished face,"astonished, face, shocked, totally",[128562],😲,"astonished, totally, amazed, shocked"
frowning face,"face, frown",[9785],☹,"frown, frowny"
slightly frowning face,"face, frown",[128577],🙁,"frown, frowny"
confounded face,"confounded, face",[128534],😖,"confounded, confused, wat"
disappointed face,"disappointed, face",[128542],😞,"disappointed, disappointment"
worried face,"face, worried",[128543],😟,"worried, worry, worrisome"
face with steam from nose,"face, triumph, won",[128548],😤,"victory, triumph, won, winning"
crying face,"cry, face, sad, tear",[128546],😢,"sad, crying, tear, tears, unhappy"
loudly crying face,"cry, face, sad, sob, tear",[128557],😭,"sad, sob, tears, sobbing, crying, unhappy"
frowning face with open mouth,"face, frown, mouth, open",[128550],😦,"frown, unhappy, sad, frowning"
anguished face,"anguished, face",[128551],😧,"anguished, anguish"
fearful face,"face, fear, fearful, scared",[128552],😨,"fear, afraid, scared, scary, fearful"
weary face,"face, tired, weary",[128553],😩,"tired, exhausted, fatigue, fatigued, weary"
grimacing face,"face, grimace",[128556],😬,"grimace, grimacing, grimaced"
face with open mouth & cold sweat,"blue, cold, face, mouth, open, rushed, sweat",[128560],😰,"cold, sweat, stressed, stressing, stressful"
face screaming in fear,"face, fear, fearful, munch, scared, scream",[128561],😱,"scream, screaming, fear, afraid, much, scared, scary"
flushed face,"dazed, face, flushed",[128563],😳,"flushed, embarrased, red-faced, dazed"
dizzy face,"dizzy, face",[128565],😵,"dizzy, nauseated"
pouting face,"angry, face, mad, pouting, rage, red",[128545],😡,"angry, mad, rage, enraged"
angry face,"angry, face, mad",[128544],😠,"angry, mad, rage, enraged"
smiling face with halo,"angel, face, fairy tale, fantasy, halo, innocent, smile",[128519],😇,"innocent, halo, saint, angel, i didn't do it, not me"
cowboy hat face,"cowboy, cowgirl, face, hat",[129312],🤠,"cowboy, cowgirl"
clown face,"clown, face",[129313],🤡,clown
lying face,"face, lie, pinocchio",[129317],🤥,"lie, lying, pinocchio"
face with medical mask,"cold, doctor, face, mask, medicine, sick",[128567],😷,"doctor, nurse, face mask, sick, sickness, illness"
face with thermometer,"face, ill, sick, thermometer",[129298],🤒,"ill, sick, illness, cold, flu, sickness"
face with head-bandage,"bandage, face, hurt, injury",[129301],🤕,"bandage, hurt, injury"
nauseated face,"face, nauseated, vomit",[129314],🤢,"nausea, vomit, nauseated, nauseous"
sneezing face,"face, gesundheit, sneeze",[129319],🤧,"sneeze, salud, gesundheit, sneezed, sneezing"
smiling face with horns,"face, fairy tale, fantasy, horns, smile",[128520],😈,"horns, devil, naughty, imp, impish"
angry face with horns,"demon, devil, face, fairy tale, fantasy, imp",[128127],👿,"horns, devil, naughty, imp, impish"
ogre,"creature, face, fairy tale, fantasy, japanese, monster",[128121],👹,"horns, devil, naughty, imp, impish, monster, goblin"
goblin,"creature, face, fairy tale, fantasy, japanese, monster",[128122],👺,"horns, devil, naughty, imp, impish, monster, ogre"
skull,"death, face, fairy tale, monster",[128128],💀,"skull, death, die, dead, corpse, toxic"
skull and crossbones,"crossbones, death, face, monster, skull",[9760],☠,"skull and crossbones, death, dead, die, dead, skull, crossbones"
ghost,"creature, face, fairy tale, fantasy, monster",[128123],👻,"ghost, ghostly"
alien,"creature, extraterrestrial, face, fairy tale, fantasy, monster, ufo",[128125],👽,"et, extraterrestrial, alien, ufo, martian"
alien monster,"alien, creature, extraterrestrial, face, fairy tale, fantasy, monster, ufo",[128126],👾,"et, extraterrestrial, alien, ufo, martian"
robot face,"face, monster, robot",[129302],🤖,"robot, robotic"
pile of poo,"comic, dung, face, monster, poo, poop",[128169],💩,"dung, shit, crap, poo, poop, feces, excrement"
smiling cat face with open mouth,"cat, face, mouth, open, smile",[128570],😺,"cat, kitty, kitten, smile, cats, kittens, kitties"
grinning cat face with smiling eyes,"cat, eye, face, grin, smile",[128568],😸,"cat, kitty, kitten, smile, cats, kittens, kitties"
cat face with tears of joy,"cat, face, joy, tear",[128569],😹,"cat, kitty, kitten, smile, cats, kittens, kitties, joy, happy, tears of joy, tears"
smiling cat face with heart-eyes,"cat, eye, face, love, smile",[128571],😻,"cat, kitty, kitten, smile, cats, kittens, kitties, love, heart, i love you, loves, loved"
cat face with wry smile,"cat, face, ironic, smile, wry",[128572],😼,"cat, kitty, kitten, smile, cats, kittens, kitties, smirk, smirks, wry, ironic"
kissing cat face with closed eyes,"cat, eye, face, kiss",[128573],😽,"cat, kitty, kitten, smile, cats, kittens, kitties, kiss, kissing, kissed"
weary cat face,"cat, face, oh, surprised, weary",[128576],🙀,"cat, kitty, kitten, smile, cats, kittens, kitties, scream, screaming, munch, surprised, weary, screamed"
crying cat face,"cat, cry, face, sad, tear",[128575],😿,"cat, kitty, kitten, smile, cats, kittens, kitties, crying, cried, cries, tear, tears"
pouting cat face,"cat, face, pouting",[128574],😾,"cat, kitty, kitten, smile, cats, kittens, kitties, pout, pouting"
see-no-evil monkey,"evil, face, forbidden, gesture, monkey, no, not, prohibited, see",[128584],🙈,"monkey, see-no-evil, forbidden, prohibited"
hear-no-evil monkey,"evil, face, forbidden, gesture, hear, monkey, no, not, prohibited",[128585],🙉,"monkey, hear-no-evil, fobidden, prohibited"
speak-no-evil monkey,"evil, face, forbidden, gesture, monkey, no, not, prohibited, speak",[128586],🙊,"monkey, speak-no-evil, fobidden, prohibited"
boy,"boy, young",[128102],👦,"boy, toddler"
boy: light skin tone,"boy, light skin tone, young","[128102, 127995]",,"boy, toddler"
boy: medium-light skin tone,"boy, medium-light skin tone, young","[128102, 127996]",,"boy, toddler"
boy: medium skin tone,"boy, medium skin tone, young","[128102, 127997]",,"boy, toddler"
boy: medium-dark skin tone,"boy, medium-dark skin tone, young","[128102, 127998]",,"boy, toddler"
boy: dark skin tone,"boy, dark skin tone, young","[128102, 127999]",,"boy, toddler"
girl,"virgo, young, zodiac",[128103],👧,"girl, toddler"
girl: light skin tone,"light skin tone, virgo, young, zodiac","[128103, 127995]",,"girl, toddler"
girl: medium-light skin tone,"medium-light skin tone, virgo, young, zodiac","[128103, 127996]",,"girl, toddler"
girl: medium skin tone,"medium skin tone, virgo, young, zodiac","[128103, 127997]",,"girl, toddler"
girl: medium-dark skin tone,"medium-dark skin tone, virgo, young, zodiac","[128103, 127998]",,"girl, toddler"
girl: dark skin tone,"dark skin tone, virgo, young, zodiac","[128103, 127999]",,"girl, toddler"
man,man,[128104],👨,man
man: light skin tone,"light skin tone, man","[128104, 127995]",,man
man: medium-light skin tone,"man, medium-light skin tone","[128104, 127996]",,man
man: medium skin tone,"man, medium skin tone","[128104, 127997]",,man
man: medium-dark skin tone,"man, medium-dark skin tone","[128104, 127998]",,man
man: dark skin tone,"dark skin tone, man","[128104, 127999]",,man
woman,woman,[128105],👩,woman
woman: light skin tone,"light skin tone, woman","[128105, 127995]",,woman
woman: medium-light skin tone,"medium-light skin tone, woman","[128105, 127996]",,woman
woman: medium skin tone,"medium skin tone, woman","[128105, 127997]",,woman
woman: medium-dark skin tone,"medium-dark skin tone, woman","[128105, 127998]",,woman
woman: dark skin tone,"dark skin tone, woman","[128105, 127999]",,woman
old man,"man, old",[128116],👴,old man
old man: light skin tone,"light skin tone, man, old","[128116, 127995]",,old man
old man: medium-light skin tone,"man, medium-light skin tone, old","[128116, 127996]",,old man
old man: medium skin tone,"man, medium skin tone, old","[128116, 127997]",,old man
old man: medium-dark skin tone,"man, medium-dark skin tone, old","[128116, 127998]",,old man
old man: dark skin tone,"dark skin tone, man, old","[128116, 127999]",,old man
old woman,"old, woman",[128117],👵,old woman
old woman: light skin tone,"light skin tone, old, woman","[128117, 127995]",,old woman
old woman: medium-light skin tone,"medium-light skin tone, old, woman","[128117, 127996]",,old woman
old woman: medium skin tone,"medium skin tone, old, woman","[128117, 127997]",,old woman
old woman: medium-dark skin tone,"medium-dark skin tone, old, woman","[128117, 127998]",,old woman
old woman: dark skin tone,"dark skin tone, old, woman","[128117, 127999]",,old woman
baby,"baby, young",[128118],👶,"baby, infant"
baby: light skin tone,"baby, light skin tone, young","[128118, 127995]",,"baby, infant"
baby: medium-light skin tone,"baby, medium-light skin tone, young","[128118, 127996]",,"baby, infant"
baby: medium skin tone,"baby, medium skin tone, young","[128118, 127997]",,"baby, infant"
baby: medium-dark skin tone,"baby, medium-dark skin tone, young","[128118, 127998]",,"baby, infant"
baby: dark skin tone,"baby, dark skin tone, young","[128118, 127999]",,"baby, infant"
baby angel,"angel, baby, face, fairy tale, fantasy",[128124],👼,angel
baby angel: light skin tone,"angel, baby, face, fairy tale, fantasy, light skin tone","[128124, 127995]",,angel
baby angel: medium-light skin tone,"angel, baby, face, fairy tale, fantasy, medium-light skin tone","[128124, 127996]",,angel
baby angel: medium skin tone,"angel, baby, face, fairy tale, fantasy, medium skin tone","[128124, 127997]",,angel
baby angel: medium-dark skin tone,"angel, baby, face, fairy tale, fantasy, medium-dark skin tone","[128124, 127998]",,angel
baby angel: dark skin tone,"angel, baby, dark skin tone, face, fairy tale, fantasy","[128124, 127999]",,angel
man health worker,"doctor, healthcare, man, nurse, therapist","[128104, 8205, 9877, 65039]",,"doctor, nurse, therapist"
man health worker: light skin tone,"doctor, healthcare, light skin tone, man, nurse, therapist","[128104, 127995, 8205, 9877, 65039]",,"doctor, nurse, therapist"
man health worker: medium-light skin tone,"doctor, healthcare, man, medium-light skin tone, nurse, therapist","[128104, 127996, 8205, 9877, 65039]",,"doctor, nurse, therapist"
man health worker: medium skin tone,"doctor, healthcare, man, medium skin tone, nurse, therapist","[128104, 127997, 8205, 9877, 65039]",,"doctor, nurse, therapist"
man health worker: medium-dark skin tone,"doctor, healthcare, man, medium-dark skin tone, nurse, therapist","[128104, 127998, 8205, 9877, 65039]",,"doctor, nurse, therapist"
man health worker: dark skin tone,"dark skin tone, doctor, healthcare, man, nurse, therapist","[128104, 127999, 8205, 9877, 65039]",,"doctor, nurse, therapist"
woman health worker,"doctor, healthcare, nurse, therapist, woman","[128105, 8205, 9877, 65039]",,"doctor, nurse, therapist"
woman health worker: light skin tone,"doctor, healthcare, light skin tone, nurse, therapist, woman","[128105, 127995, 8205, 9877, 65039]",,"doctor, nurse, therapist"
woman health worker: medium-light skin tone,"doctor, healthcare, medium-light skin tone, nurse, therapist, woman","[128105, 127996, 8205, 9877, 65039]",,"doctor, nurse, therapist"
woman health worker: medium skin tone,"doctor, healthcare, medium skin tone, nurse, therapist, woman","[128105, 127997, 8205, 9877, 65039]",,"doctor, nurse, therapist"
woman health worker: medium-dark skin tone,"doctor, healthcare, medium-dark skin tone, nurse, therapist, woman","[128105, 127998, 8205, 9877, 65039]",,"doctor, nurse, therapist"
woman health worker: dark skin tone,"dark skin tone, doctor, healthcare, nurse, therapist, woman","[128105, 127999, 8205, 9877, 65039]",,"doctor, nurse, therapist"
man student,"graduate, man, student","[128104, 8205, 127891]",,"student, scholar, bookworm, grad, graduate"
man student: light skin tone,"graduate, light skin tone, man, student","[128104, 127995, 8205, 127891]",,"student, scholar, bookworm, grad, graduate"
man student: medium-light skin tone,"graduate, man, medium-light skin tone, student","[128104, 127996, 8205, 127891]",,"student, scholar, bookworm, grad, graduate"
man student: medium skin tone,"graduate, man, medium skin tone, student","[128104, 127997, 8205, 127891]",,"student, scholar, bookworm, grad, graduate"
man student: medium-dark skin tone,"graduate, man, medium-dark skin tone, student","[128104, 127998, 8205, 127891]",,"student, scholar, bookworm, grad, graduate"
man student: dark skin tone,"dark skin tone, graduate, man, student","[128104, 127999, 8205, 127891]",,"student, scholar, bookworm, grad, graduate"
woman student,"graduate, student, woman","[128105, 8205, 127891]",,"student, scholar, bookworm, grad, graduate"
woman student: light skin tone,"graduate, light skin tone, student, woman","[128105, 127995, 8205, 127891]",,"student, scholar, bookworm, grad, graduate"
woman student: medium-light skin tone,"graduate, medium-light skin tone, student, woman","[128105, 127996, 8205, 127891]",,"student, scholar, bookworm, grad, graduate"
woman student: medium skin tone,"graduate, medium skin tone, student, woman","[128105, 127997, 8205, 127891]",,"student, scholar, bookworm, grad, graduate"
woman student: medium-dark skin tone,"graduate, medium-dark skin tone, student, woman","[128105, 127998, 8205, 127891]",,"student, scholar, bookworm, grad, graduate"
woman student: dark skin tone,"dark skin tone, graduate, student, woman","[128105, 127999, 8205, 127891]",,"student, scholar, bookworm, grad, graduate"
man teacher,"instructor, man, professor, teacher","[128104, 8205, 127979]",,"teacher, instructor, ta, professor"
man teacher: light skin tone,"instructor, light skin tone, man, professor, teacher","[128104, 127995, 8205, 127979]",,"teacher, instructor, ta, professor"
man teacher: medium-light skin tone,"instructor, man, medium-light skin tone, professor, teacher","[128104, 127996, 8205, 127979]",,"teacher, instructor, ta, professor"
man teacher: medium skin tone,"instructor, man, medium skin tone, professor, teacher","[128104, 127997, 8205, 127979]",,"teacher, instructor, ta, professor"
man teacher: medium-dark skin tone,"instructor, man, medium-dark skin tone, professor, teacher","[128104, 127998, 8205, 127979]",,"teacher, instructor, ta, professor"
man teacher: dark skin tone,"dark skin tone, instructor, man, professor, teacher","[128104, 127999, 8205, 127979]",,"teacher, instructor, ta, professor"
woman teacher,"instructor, professor, teacher, woman","[128105, 8205, 127979]",,"teacher, instructor, ta, professor"
woman teacher: light skin tone,"instructor, light skin tone, professor, teacher, woman","[128105, 127995, 8205, 127979]",,"teacher, instructor, ta, professor"
woman teacher: medium-light skin tone,"instructor, medium-light skin tone, professor, teacher, woman","[128105, 127996, 8205, 127979]",,"teacher, instructor, ta, professor"
woman teacher: medium skin tone,"instructor, medium skin tone, professor, teacher, woman","[128105, 127997, 8205, 127979]",,"teacher, instructor, ta, professor"
woman teacher: medium-dark skin tone,"instructor, medium-dark skin tone, professor, teacher, woman","[128105, 127998, 8205, 127979]",,"teacher, instructor, ta, professor"
woman teacher: dark skin tone,"dark skin tone, instructor, professor, teacher, woman","[128105, 127999, 8205, 127979]",,"teacher, instructor, ta, professor"
man judge,"justice, man, scales","[128104, 8205, 9878]",,"judge, scales"
man judge: light skin tone,"justice, light skin tone, man, scales","[128104, 127995, 8205, 9878]",,"judge, scales"
man judge: medium-light skin tone,"justice, man, medium-light skin tone, scales","[128104, 127996, 8205, 9878]",,"judge, scales"
man judge: medium skin tone,"justice, man, medium skin tone, scales","[128104, 127997, 8205, 9878]",,"judge, scales"
man judge: medium-dark skin tone,"justice, man, medium-dark skin tone, scales","[128104, 127998, 8205, 9878]",,"judge, scales"
man judge: dark skin tone,"dark skin tone, justice, man, scales","[128104, 127999, 8205, 9878]",,"judge, scales"
woman judge,"judge, scales, woman","[128105, 8205, 9878]",,"judge, scales"
woman judge: light skin tone,"judge, light skin tone, scales, woman","[128105, 127995, 8205, 9878]",,"judge, scales"
woman judge: medium-light skin tone,"judge, medium-light skin tone, scales, woman","[128105, 127996, 8205, 9878]",,"judge, scales"
woman judge: medium skin tone,"judge, medium skin tone, scales, woman","[128105, 127997, 8205, 9878]",,"judge, scales"
woman judge: medium-dark skin tone,"judge, medium-dark skin tone, scales, woman","[128105, 127998, 8205, 9878]",,"judge, scales"
woman judge: dark skin tone,"dark skin tone, judge, scales, woman","[128105, 127999, 8205, 9878]",,"judge, scales"
man farmer,"farmer, gardener, man, rancher","[128104, 8205, 127806]",,"farmer, gardener, rancher"
man farmer: light skin tone,"farmer, gardener, light skin tone, man, rancher","[128104, 127995, 8205, 127806]",,"farmer, gardener, rancher"
man farmer: medium-light skin tone,"farmer, gardener, man, medium-light skin tone, rancher","[128104, 127996, 8205, 127806]",,"farmer, gardener, rancher"
man farmer: medium skin tone,"farmer, gardener, man, medium skin tone, rancher","[128104, 127997, 8205, 127806]",,"farmer, gardener, rancher"
man farmer: medium-dark skin tone,"farmer, gardener, man, medium-dark skin tone, rancher","[128104, 127998, 8205, 127806]",,"farmer, gardener, rancher"
man farmer: dark skin tone,"dark skin tone, farmer, gardener, man, rancher","[128104, 127999, 8205, 127806]",,"farmer, gardener, rancher"
woman farmer,"farmer, gardener, rancher, woman","[128105, 8205, 127806]",,"farmer, gardener, rancher"
woman farmer: light skin tone,"farmer, gardener, light skin tone, rancher, woman","[128105, 127995, 8205, 127806]",,"farmer, gardener, rancher"
woman farmer: medium-light skin tone,"farmer, gardener, medium-light skin tone, rancher, woman","[128105, 127996, 8205, 127806]",,"farmer, gardener, rancher"
woman farmer: medium skin tone,"farmer, gardener, medium skin tone, rancher, woman","[128105, 127997, 8205, 127806]",,"farmer, gardener, rancher"
woman farmer: medium-dark skin tone,"farmer, gardener, medium-dark skin tone, rancher, woman","[128105, 127998, 8205, 127806]",,"farmer, gardener, rancher"
woman farmer: dark skin tone,"dark skin tone, farmer, gardener, rancher, woman","[128105, 127999, 8205, 127806]",,"farmer, gardener, rancher"
man cook,"chef, cook, man","[128104, 8205, 127859]",,"cook, chef"
man cook: light skin tone,"chef, cook, light skin tone, man","[128104, 127995, 8205, 127859]",,"cook, chef"
man cook: medium-light skin tone,"chef, cook, man, medium-light skin tone","[128104, 127996, 8205, 127859]",,"cook, chef"
man cook: medium skin tone,"chef, cook, man, medium skin tone","[128104, 127997, 8205, 127859]",,"cook, chef"
man cook: medium-dark skin tone,"chef, cook, man, medium-dark skin tone","[128104, 127998, 8205, 127859]",,"cook, chef"
man cook: dark skin tone,"chef, cook, dark skin tone, man","[128104, 127999, 8205, 127859]",,"cook, chef"
woman cook,"chef, cook, woman","[128105, 8205, 127859]",,"cook, chef"
woman cook: light skin tone,"chef, cook, light skin tone, woman","[128105, 127995, 8205, 127859]",,"cook, chef"
woman cook: medium-light skin tone,"chef, cook, medium-light skin tone, woman","[128105, 127996, 8205, 127859]",,"cook, chef"
woman cook: medium skin tone,"chef, cook, medium skin tone, woman","[128105, 127997, 8205, 127859]",,"cook, chef"
woman cook: medium-dark skin tone,"chef, cook, medium-dark skin tone, woman","[128105, 127998, 8205, 127859]",,"cook, chef"
woman cook: dark skin tone,"chef, cook, dark skin tone, woman","[128105, 127999, 8205, 127859]",,"cook, chef"
man mechanic,"electrician, man, mechanic, plumber, tradesperson","[128104, 8205, 128295]",,"mechanic, plumber, electrician, tradesperson"
man mechanic: light skin tone,"electrician, light skin tone, man, mechanic, plumber, tradesperson","[128104, 127995, 8205, 128295]",,"mechanic, plumber, electrician, tradesperson"
man mechanic: medium-light skin tone,"electrician, man, mechanic, medium-light skin tone, plumber, tradesperson","[128104, 127996, 8205, 128295]",,"mechanic, plumber, electrician, tradesperson"
man mechanic: medium skin tone,"electrician, man, mechanic, medium skin tone, plumber, tradesperson","[128104, 127997, 8205, 128295]",,"mechanic, plumber, electrician, tradesperson"
man mechanic: medium-dark skin tone,"electrician, man, mechanic, medium-dark skin tone, plumber, tradesperson","[128104, 127998, 8205, 128295]",,"mechanic, plumber, electrician, tradesperson"
man mechanic: dark skin tone,"dark skin tone, electrician, man, mechanic, plumber, tradesperson","[128104, 127999, 8205, 128295]",,"mechanic, plumber, electrician, tradesperson"
woman mechanic,"electrician, mechanic, plumber, tradesperson, woman","[128105, 8205, 128295]",,"mechanic, plumber, electrician, tradesperson"
woman mechanic: light skin tone,"electrician, light skin tone, mechanic, plumber, tradesperson, woman","[128105, 127995, 8205, 128295]",,"mechanic, plumber, electrician, tradesperson"
woman mechanic: medium-light skin tone,"electrician, mechanic, medium-light skin tone, plumber, tradesperson, woman","[128105, 127996, 8205, 128295]",,"mechanic, plumber, electrician, tradesperson"
woman mechanic: medium skin tone,"electrician, mechanic, medium skin tone, plumber, tradesperson, woman","[128105, 127997, 8205, 128295]",,"mechanic, plumber, electrician, tradesperson"
woman mechanic: medium-dark skin tone,"electrician, mechanic, medium-dark skin tone, plumber, tradesperson, woman","[128105, 127998, 8205, 128295]",,"mechanic, plumber, electrician, tradesperson"
woman mechanic: dark skin tone,"dark skin tone, electrician, mechanic, plumber, tradesperson, woman","[128105, 127999, 8205, 128295]",,"mechanic, plumber, electrician, tradesperson"
man factory worker,"assembly, factory, industrial, man, worker","[128104, 8205, 127981]",,"worker, factory worker, blue-collar"
man factory worker: light skin tone,"assembly, factory, industrial, light skin tone, man, worker","[128104, 127995, 8205, 127981]",,"worker, factory worker, blue-collar"
man factory worker: medium-light skin tone,"assembly, factory, industrial, man, medium-light skin tone, worker","[128104, 127996, 8205, 127981]",,"worker, factory worker, blue-collar"
man factory worker: medium skin tone,"assembly, factory, industrial, man, medium skin tone, worker","[128104, 127997, 8205, 127981]",,"worker, factory worker, blue-collar"
man factory worker: medium-dark skin tone,"assembly, factory, industrial, man, medium-dark skin tone, worker","[128104, 127998, 8205, 127981]",,"worker, factory worker, blue-collar"
man factory worker: dark skin tone,"assembly, dark skin tone, factory, industrial, man, worker","[128104, 127999, 8205, 127981]",,"worker, factory worker, blue-collar"
woman factory worker,"assembly, factory, industrial, woman, worker","[128105, 8205, 127981]",,"worker, factory worker, blue-collar"
woman factory worker: light skin tone,"assembly, factory, industrial, light skin tone, woman, worker","[128105, 127995, 8205, 127981]",,"worker, factory worker, blue-collar"
woman factory worker: medium-light skin tone,"assembly, factory, industrial, medium-light skin tone, woman, worker","[128105, 127996, 8205, 127981]",,"worker, factory worker, blue-collar"
woman factory worker: medium skin tone,"assembly, factory, industrial, medium skin tone, woman, worker","[128105, 127997, 8205, 127981]",,"worker, factory worker, blue-collar"
woman factory worker: medium-dark skin tone,"assembly, factory, industrial, medium-dark skin tone, woman, worker","[128105, 127998, 8205, 127981]",,"worker, factory worker, blue-collar"
woman factory worker: dark skin tone,"assembly, dark skin tone, factory, industrial, woman, worker","[128105, 127999, 8205, 127981]",,"worker, factory worker, blue-collar"
man office worker,"architect, business, man, manager, office, white-collar","[128104, 8205, 128188]",,"worker, businessman, manager, office worker, white-collar, director"
man office worker: light skin tone,"architect, business, light skin tone, man, manager, office, white-collar","[128104, 127995, 8205, 128188]",,"worker, businessman, manager, office worker, white-collar, director"
man office worker: medium-light skin tone,"architect, business, man, manager, medium-light skin tone, office, white-collar","[128104, 127996, 8205, 128188]",,"worker, businessman, manager, office worker, white-collar, director"
man office worker: medium skin tone,"architect, business, man, manager, medium skin tone, office, white-collar","[128104, 127997, 8205, 128188]",,"worker, businessman, manager, office worker, white-collar, director"
man office worker: medium-dark skin tone,"architect, business, man, manager, medium-dark skin tone, office, white-collar","[128104, 127998, 8205, 128188]",,"worker, businessman, manager, office worker, white-collar, director"
man office worker: dark skin tone,"architect, business, dark skin tone, man, manager, office, white-collar","[128104, 127999, 8205, 128188]",,"worker, businessman, manager, office worker, white-collar, director"
woman office worker,"architect, business, manager, office, white-collar, woman","[128105, 8205, 128188]",,"worker, businesswoman, manager, office worker, white-collar, director"
woman office worker: light skin tone,"architect, business, light skin tone, manager, office, white-collar, woman","[128105, 127995, 8205, 128188]",,"worker, businesswoman, manager, office worker, white-collar, director"
woman office worker: medium-light skin tone,"architect, business, manager, medium-light skin tone, office, white-collar, woman","[128105, 127996, 8205, 128188]",,"worker, businesswoman, manager, office worker, white-collar, director"
woman office worker: medium skin tone,"architect, business, manager, medium skin tone, office, white-collar, woman","[128105, 127997, 8205, 128188]",,"worker, businesswoman, manager, office worker, white-collar, director"
woman office worker: medium-dark skin tone,"architect, business, manager, medium-dark skin tone, office, white-collar, woman","[128105, 127998, 8205, 128188]",,"worker, businesswoman, manager, office worker, white-collar, director"
woman office worker: dark skin tone,"architect, business, dark skin tone, manager, office, white-collar, woman","[128105, 127999, 8205, 128188]",,"worker, businesswoman, manager, office worker, white-collar, director"
man scientist,"biologist, chemist, engineer, man, mathematician, physicist, scientist","[128104, 8205, 128300]",,"scientist, biologist, chemist, engineer, physicist, researcher, scholar"
man scientist: light skin tone,"biologist, chemist, engineer, light skin tone, man, mathematician, physicist, scientist","[128104, 127995, 8205, 128300]",,"scientist, biologist, chemist, engineer, physicist, researcher, scholar"
man scientist: medium-light skin tone,"biologist, chemist, engineer, man, mathematician, medium-light skin tone, physicist, scientist","[128104, 127996, 8205, 128300]",,"scientist, biologist, chemist, engineer, physicist, researcher, scholar"
